;;;;;
;; RESULTADO DE JULGAMENTO - PROPOSTAS  APROVADAS PARA CONTRATAÇÃO;;;
;;Edital 21/2008 - Programa Primeiros Projetos;;;
;;;;;
ATENÇÃO : Todas as instituições que tiverem propostas aprovadas deverão atualizar seu credenciamento na FAPEMIG até 10 dias corridos da publicação dos resultados, sob pena de desclassificação das propostas.  A situação cadastral das instituições poderá ser verificada no endereço : http://www.fapemig.br/cadastro/;;;;;
;;;;;
;;;;;
;;;;;
#;PROC.;COORDENADOR;TÍTULO;INSTITUIÇÃO; VALOR 
27; APQ-00214-09; Geisa Daise Gumiero Cleps; O Lugar E As Formas De Comercialização De Produtos E Serviços Solidários Em Minas Gerais; UFU;19.472,96
28; APQ-00217-09; Maria Arlene Fausto; Monitoramento Do Estado Nutricional E De Estilo De Vida De Estudantes Universitários De Uma Instituição Pública De Ensino Em Minas Gerais, Brasil; UFOP;21.812,70
29; APQ-00222-09; Carlos Eduardo Magalhães Dos Santos; Melhoramento Genético Do Maracujazeiro Visando Agricultura Familiar Do Alto Paranaíba; UFV;21.178,50
30; APQ-00234-09; André Luis Faria E Silva; Avaliação De Técnicas Alternativas Para União Ao Esmalte E Dentina Em Dentes De Portadores De Fibromatose Gengival Com Amelogênese Imperfeita; UNIMONTES;29.956,50
31; APQ-00256-09; Joel Antonio De Oliveira; Resposta Bioquímica, Fisiológica E Comportamental De Anticarsia Gemmatalis Quando Submetida A Tratamentos Com Inibidor De Proteases; UFV;19.287,49
32; APQ-00262-09; Denise Lowinsohn; Construção De Sensores Eletroquímicos Miniaturizados Para A Determinação De Diferentes Metabólitos Em Amostras Biológicas; UFJF;24.150,00
33; APQ-00265-09; Luiz Carlos Honório; Determinantes Organizacionais, Motivacionais E Estratégicos Da Internacionalização De Empresas Mineiras De Manufaturados;Instituto Novos Horizontes de Ensino Superior e de Pesquisa Ltda/Faculdade Novos Horizontes;7.500,00
34; APQ-00268-09; Luciano Viana Cota; Exserohilum Turcicum Em Sorgo: Variabilidade Patogênica, Especificidade De Hospedeiro E Resistência Ao Patógeno; EMBRAPA-CNPMS;22.732,50
35; APQ-00276-09; Nilton Alves Maia; Um Sistema De Engenharia De Tráfego Auto-Gerenciável Para Redes Ip; UNIMONTES;25.200,00
36; APQ-00277-09; Fabio Heleno De Lima Pace; Azatioprina No Tratamento De Pacientes Com Colite Ulcerativa Córtico-Dependente: Resultados E Efeitos Adversos ; UFJF;23.647,05
37; APQ-00288-09; Adriano Marçal Pimenta; Condições De Trabalho E Suas Relações Com O Elevado Risco Cardiovascular; UFMG;24.477,98
